epoch,train_loss,psnr,ssim,sam,lr,grad_norm,epoch_time_s,samples_per_s,peak_memory_gb
1,0.07357181250080466,27.44037208557129,0.7394375741481781,0.347672775387764,0.0004,0.27542065992057324,632.5562572479248,7.904435285730316,8.015376567840576
2,0.04728697169423103,28.844354248046876,0.7843384444713593,0.3404272377490997,0.0003999890612884197,0.22333287661075593,637.538999080658,7.842657480107232,8.007707595825195
3,0.0406965138964355,29.84534969329834,0.8374571919441223,0.27177722901105883,0.00039995624635323174,0.1890690404444933,628.5531551837921,7.954776710233799,8.007707595825195
4,0.036193620746210214,31.20104637145996,0.8708127439022064,0.23675579130649566,0.0003999015587929635,0.17228375692516565,628.7483546733856,7.952307092075554,8.007707595825195
5,0.03316711530201137,31.09107551574707,0.8627358198165893,0.24206430166959764,0.0003998250046047223,0.1672799190878868,630.3457596302032,7.932154573282582,8.007707595825195
6,0.031208653059974313,31.835434341430663,0.8671270847320557,0.32311437129974363,0.0003997265921835375,0.1610547513782978,629.9385662078857,7.937281932266951,8.007707595825195
7,0.02954031198360026,32.12788028717041,0.8840989828109741,0.2535682633519173,0.0003996063323214402,0.14936994555592537,629.8866021633148,7.937936737863202,8.007707595825195
8,0.02824933511801064,32.25855712890625,0.8892304062843323,0.25424489825963975,0.0003994642382062794,0.1479805225998163,628.3370773792267,7.957512265319175,8.007707595825195
9,0.02768600271679461,32.91497917175293,0.9063346922397614,0.2253362312912941,0.0003993003254202762,0.14442226781398057,630.0636503696442,7.935706173601052,8.007707595825195
10,0.026354114661552012,33.2029146194458,0.9039601564407349,0.23006238043308258,0.00039911461193831453,0.15778260739892722,632.9582259654999,7.899415466752352,8.007707595825195
11,0.025688371002301574,33.40530853271484,0.9143393218517304,0.22410004138946532,0.0003989071181259706,0.1371622913867235,629.6063697338104,7.941469845856128,8.007707595825195
12,0.02481920082140714,33.524746322631835,0.9173147976398468,0.20031983852386476,0.0003986778667372792,0.13139577438086272,632.5074329376221,7.905045442356249,8.007707595825195
13,0.02454568635225296,33.634850311279294,0.9199519574642181,0.2082025870680809,0.00039842688291223845,0.1271505827188492,631.521235704422,7.9173901324518665,8.007707595825195
14,0.024227529758960007,33.97544212341309,0.924499922990799,0.1890982374548912,0.0003981541941740531,0.12990337322950363,634.0230383872986,7.886148763171136,8.007707595825195
15,0.024047585141472518,33.699960708618164,0.9158265650272369,0.24108907729387283,0.0003978598304261163,0.12781224241703748,631.396151304245,7.918958627910129,8.007707595825195
